Year,Region,Dwelling population (persons),At risk of poverty rate (threshold 60% of median) (%),At risk of poverty rate of children in dwelling population (%),Gini coefficient (gross income) (%)
2023,HVA11 South Karelia wellbeing services county,122884,16.6,14.2,30.3
2023,HVA12 South Savo wellbeing services county,126692,15.3,13.3,29.3
2023,HVA13 North Savo wellbeing services county,242781,14.8,12.2,30.4
2023,HVA14 North Karelia wellbeing services county,158488,18.3,15.2,30.7
2023,HVA15 Central Finland wellbeing services county,267834,16.7,13.6,30.8
2023,HVA16 South Ostrobothnia wellbeing services county,187238,13.4,12,28.7
2023,HVA17 Ostrobothnia wellbeing services county,174542,12.5,11.2,29.3
2023,HVA18 Central Ostrobothnia wellbeing services county,66540,12.2,12.1,27.8
2023,HVA19 North Ostrobothnia wellbeing services county,410803,14.4,13.8,30.7
2023,HVA20 Kainuu wellbeing services county,68349,15.3,13.2,29.8
2023,HVA21 Lapland wellbeing services county,170303,13.4,11.8,28.5
2023,HVA90 City of Helsinki,654854,12.9,12.7,39.8
2023,HVA91 Åland,29923,9.6,10.7,31.5
2023,SK011 Helsinki,1602398,11.3,11.4,36.5
2023,SK014 Raasepori,39402,11.4,10.7,30
2023,SK015 Porvoo,58294,9.3,9.2,30.7
2023,SK016 Loviisa,16530,12.5,11.9,30
2023,SK021 Åboland-Turunmaa,21043,10.2,10.2,30.5
2023,SK022 Salo,58053,14.1,13.6,30
2023,SK023 Turku,338209,14.3,12.1,32.8
2023,SK024 Vakka-Suomi,29573,12.3,11.8,28.4
2023,SK025 Loimaa,32254,14,12.8,28.6
2023,SK041 Rauma,64167,11.9,10.5,30.7
2023,SK043 Pori,125791,14.8,13.2,29.4
2023,SK044 Pohjois-Satakunta,17180,17.6,16.5,30
2023,SK051 Hämeenlinna,91899,11.9,11.5,29.5
2023,SK052 Riihimäki,43320,12,11.1,29
2023,SK053 Forssa,30859,14.9,14.5,29.3
2023,SK061 Luoteis-Pirkanmaa,14356,15.8,15.7,28.8
2023,SK063 Etelä-Pirkanmaa,40826,11.7,10.2,27.8
2023,SK064 Tampere,426422,13.7,10.8,32.5
2023,SK068 Lounais-Pirkanmaa,25575,14.6,12.4,29.6
2023,SK069 Ylä-Pirkanmaa,20836,15.5,16.3,29.5
2023,SK071 Lahti,200502,15.2,14.6,31.1
2023,SK081 Kouvola,77158,14.5,13.2,28.6
2023,SK082 Kotka-Hamina,77770,16,14.6,29.8
2023,SK091 Lappeenranta,86493,16.8,13.4,31
2023,SK093 Imatra,36391,16.2,16.5,28.7
2023,SK101 Mikkeli,66723,14.4,12.4,29.7
2023,SK103 Savonlinna,37777,16.5,14.6,29.2
2023,SK105 Pieksämäki,22192,16,13.8,28.1
2023,SK111 Ylä-Savo,49057,15.8,14.3,29.1
2023,SK112 Kuopio,142337,13.8,10.6,31
2023,SK113 Koillis-Savo,6167,20.6,18.3,29.8
2023,SK114 Varkaus,32647,15.7,15.4,29.2
2023,SK115 Sisä-Savo,12573,17.3,13.5,28.3
2023,SK122 Joensuu,124579,17.9,14.4,31.1
2023,SK124 Keski-Karjala,15179,19.2,18.9,29.2
2023,SK125 Pielisen Karjala,18730,19.8,18.4,28.4
2023,SK131 Jyväskylä,187624,16.7,12.7,31.5
2023,SK132 Joutsa,4622,17.5,12,30.5
2023,SK133 Keuruu,10328,17.3,14.7,31.9
2023,SK134 Jämsä,18748,14.7,14.8,28.5
2023,SK135 Äänekoski,20138,16,17.5,27.9
2023,SK138 Saarijärvi-Viitasaari,26374,17.7,16.9,28.3
